"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-17","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",6206680,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-18","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",6535156,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-19","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",6813168,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-20","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",6950802,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-21","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",7028356,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-22","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",7297061,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-23","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",7551676,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-24","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",7799000,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-25","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",8101787,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-02-26","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",8322042,"Total COVID-19 Vaccines Administered"
